OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,7,941,בסיס חיל האוויר תל נוף,בסיס צבאי,0,12947797,מוסדי/ציבורי,0,2,0,0,2,0,1,1,0,2,2,0,0,0,2,2,0.540632513786137,202110,15142.071249892922424,12947796.925822803750634
-1,34,1592,אלקנה שערי תקווה עץ אפרים,מגורים,12115,8391035,מגורים,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,4.051943566594416,202110,19733.661534283441142,8391034.929584760218859
-1,8,2553,מכחול דריג'את כחלה,מגורים,2330,64192464,מגורים,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0.124625220180695,202110,46180.717110069119371,64192464.321433030068874
-1,19,559,ראשון לציון,שטח פתוח,0,1875968,פנאי/טבע/ספורט,8300,3,0,0,2,0,0,1,1,2,2,0,0,0,2,2,10.128102402827569,202110,5753.326386709167309,1875968.394108611159027
-1,0,2171,טבריה,שטח פתוח,0,588058,פנאי/טבע/ספורט,6700,3,,,,,,,,,,,,,,,0.000000000000000,202110,3459.236365374839806,588057.912401310750283
-1,0,1185,בית זית,מגורים,1679,2275494,מגורים,0,1,,,,,,,,,,,,,,,0.000000000000000,202110,7604.073079213519122,2275494.143894784618169
-1,57,136,הרצלייה,מגורים,6017,369860,מגורים,6400,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,154.112246374423592,202110,2512.235237509157287,369860.289113660575822
-1,7,1827,קריית אתא,מוסדות ציבור,0,832999,מוסדי/ציבורי,6800,2,0,0,1,0,0,1,0,1,2,0,0,0,2,2,8.403372583936417,202110,4287.573752241346483,832998.885873625054955
-1,71,778,אשדוד,מגורים,10963,451746,מגורים,70,1,0,0,1,0,0,0,1,1,2,0,0,0,2,2,157.168023196805763,202110,2720.138731002717577,451745.835799524036702
-1,0,2406,באר שבע,שטח פתוח,0,9890363,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202110,14634.880160100787180,9890362.607275515794754
-1,8,1420,צומת הרטוב,תשעיה,0,874938,תעשיה/מסחר/מתקנים,0,4,0,0,1,0,1,0,0,1,2,0,1,0,1,2,9.143506762773011,202110,8164.813397686538337,874937.833761035813950
-1,64,1038,תל אביב -יפו,מתחם ציבורי,237,220152,מוסדי/ציבורי,5000,2,0,0,1,0,0,1,0,1,2,0,0,0,0,2,290.708394717696024,202110,2487.514887773922965,220151.881276595930103
-1,48,245,בני ברק,מגורים,9208,220629,מגורים,6100,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,217.560214082175804,202110,2276.129022104617889,220628.574955665710149
-1,6,1664,חגי,מגורים,635,7423254,מגורים,0,1,1,1,0,0,0,2,0,2,2,0,0,0,1,2,0.808270841702702,202110,21245.945729578470491,7423254.298473032191396
-1,29,887,נווה ירק,מגורים,1321,8186787,מגורים,0,1,0,1,1,0,0,2,0,2,2,1,0,0,1,2,3.542293133374427,202110,19174.921174644459825,8186787.176580806262791
-1,2,2243,כפר קרע,מגורים,8039,4411871,מגורים,654,1,0,1,1,0,0,2,0,2,2,1,0,0,1,2,0.453322435748791,202110,9977.954040768803679,4411870.761914600618184
-1,0,1513,אבו דיס,לא ידוע,0,6195314,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202110,12496.473580929181480,6195314.256324105896056
-1,20,464,באר יעקב,מגורים,10449,1860760,מגורים,2530,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,10.748295449854377,202110,6888.508479721397634,1860760.163628640351817
-1,9,1131,ירושלים,מגורים,3936,506115,מגורים,3000,1,0,0,2,0,0,2,0,2,2,0,1,0,0,2,17.782514827365674,202110,4812.311392437949507,506115.141045732074417
-1,10,82,תל אביב -יפו,מגורים+ שטח פתוח,499,448580,מגורים,5000,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,22.292577979862752,202110,3749.266866357373146,448579.792298278072849
-1,27,1773,טירת כרמל,תעשיה,0,1618833,תעשיה/מסחר/מתקנים,2100,4,0,0,1,0,0,1,0,1,2,0,0,0,1,2,16.678682584526523,202110,5898.815529021351722,1618832.894214856904000
-1,0,2478,קריית גת,מגורים,2469,431130,מגורים,2630,1,,,,,,,,,,,,,,,0.000000000000000,202110,3348.352742712995223,431129.940770743356552
-1,17,724,ראש העין,מגורים,4233,690629,מגורים,2640,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,24.615232936454529,202110,4227.770486096945206,690629.255627454840578
-1,17,2080,כרמיאל,מגורים,4977,919949,מגורים,1139,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,18.479289815754889,202110,5228.154098715373038,919948.773437511175871
-1,0,1366,א-טירה מרכז,לא ידוע,0,1358406,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202110,4667.509655655243478,1358405.601440544705838
-1,70,317,חולון,מגורים,6717,656829,מגורים,6600,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,106.572608203546707,202110,3443.196197604566805,656829.190726988483220
-1,52,1992,שבי ציון רגבה לוחמי הגיטאות נס עמים,מגורים,3324,13100809,מגורים,0,1,0,0,3,0,0,1,2,3,2,0,0,0,2,2,3.969220612503467,202110,19077.854034729465639,13100808.717004662379622
